name,year,headline,company,product,category,subject,publication,medium,format,link,description,location
Knodles Counting House,1850,Knodles Counting House,Knodles Counting House,,Broadsides Collection,Printing and Serials,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r48913h9b,,
Lands For Sale,1850,Lands For Sale,Newton & Bryce,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4xg9h326,list of different lots of land.,
Proclamation,1850,Proclamation,United States,,Broadsides Collection,Greeting Cards,,,advertisements,https://idn.duke.edu/ark:/87924/r4tq5t61r,Valentines Day!,
Travelers Are Invited To Call At Welchs Fashionable Furnishing Store For Gentlemen.  cor. of Meeting and Market Streets Near The Charleston Hotel.,1850,Travelers Are Invited To Call At Welchs Fashionable Furnishing Store For Gentlemen.  cor. of Meeting and Market Streets Near The Charleston Hotel.,Welchs Fashionable Furnishing Store For Gentlemen.,,Broadsides Collection,Clothing and Shoes,,,advertisements,https://idn.duke.edu/ark:/87924/r4cr5q37c,,
Egypts Revelations,1851,Egypts Revelations,George R. Gliddon,,Broadsides Collection,"Price List, Exhibits",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4qr4qd55,lists the Schedule of Lectures and exhibitions.  Scanned as two images,
Freights Reduced,1851,Freights Reduced,"Henrietta Steamboat Company, President Merchants Steamboat Company, President Cape Fear Steamboat Company",,Broadsides Collection,"Price List, Freight and Shipping",,,advertisements,https://idn.duke.edu/ark:/87924/r4vd6qx7d,F-331   list of revised freight prices both up and down the river.,
Law-School of the University of Virginia,1851,Law-School of the University of Virginia,University of Virginia,,Broadsides Collection,"Price List, Education",,,advertisements,https://idn.duke.edu/ark:/87924/r4ns0np2p,,
"Gang Of 25 Sea Island Cotton And Rice Negroes, By Louis D. De Saussure.",1852,"Gang Of 25 Sea Island Cotton And Rice Negroes, By Louis D. De Saussure.","Louis D. De Saussure, ""Ryans Mart",,Broadsides Collection,"Children, African/African-American, Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r4fq9rv1j,"describes the age, abilities and condition of each slave for sale.",
The Worlds Industrial Exhibition of 1853 -- Season Ticket,1853,The Worlds Industrial Exhibition of 1853 -- Season Ticket,Worlds Industrial Exhibition of 1853,Worlds Industrial Exhibition of 1853,Advertising Ephemera Collection,"Expositions, Fairs, etc.",,,"advertisements, engravings (prints)",https://idn.duke.edu/ark:/87924/r4tm73t1v,"unscanned reverse side lists rules of the fair and is signed by J. M. Bathelder, Secretary",
Mechanics Institute School,1854,Mechanics Institute School,Mechanics Institute School,,Broadsides Collection,"Children, Price List, Education and Women",,,advertisements,https://idn.duke.edu/ark:/87924/r4dr2r12n,,
Paris Spring Millinery,1854,Paris Spring Millinery,"Miss Mullin, seamstress","Millinery, straw & leghorn bonnets",Advertising Ephemera Collection,Clothing,,,advertisements,https://idn.duke.edu/ark:/87924/r4251h87z,,
Philadelphia & Savannah Steamship Line,1854,Philadelphia & Savannah Steamship Line,Heron & Martin,,Broadsides Collection,"Price List, Transportation & Travel",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r41v5d55h,,
Sale at Auction - Succession of the late Pierre Lefebvre,1854,Sale at Auction - Succession of the late Pierre Lefebvre,Pierre Lefebvre (Will),,Broadsides Collection,Estate Sale,,,advertisements,https://idn.duke.edu/ark:/87924/r4pz53960,"image was oversized, but originally it was arranged with an English column on the right side of the page and a French column on the left side, providing details of the will.  Includes slaves.",
South-Western Book Store Dissolution,1854,South-Western Book Store Dissolution,H. D. McGinnis,,Broadsides Collection,Books,,,advertisements,https://idn.duke.edu/ark:/87924/r45t3hq0n,note from McGinnis to Mirriam (dictionaries).,
Summerville Male and Female Seminary,1854,Summerville Male and Female Seminary,Summerville Seminary,,Broadsides Collection,"Price List, Education and Coed",,,advertisements,https://idn.duke.edu/ark:/87924/r4d21tb27,,
Auction Sale Of Negroes,1855,Auction Sale Of Negroes,J. S. Ryan,,Broadsides Collection,"Children, African/African-American, Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r4kp7wg5b,Includes notes on the side that show the appraised price for each group of slaves and the price they were sold at and the profit made from the auction.  Also gives the age of each slave at the time of sale.,
Banking House of Hamilton G. Fant,1855,Banking House of Hamilton G. Fant,Hamilton G. Fant,,Broadsides Collection,"Price List, Land and Homes",,,advertisements,https://idn.duke.edu/ark:/87924/r46h4ff38,,
"Chubb Brothers, Bankers and Dealers",1855,"Chubb Brothers, Bankers and Dealers",Chubb Brothers,,Broadsides Collection,"Price List, Banking and Financial",,,advertisements,https://idn.duke.edu/ark:/87924/r41v5d53j,,
Great Northn & Eastn Route.  American & Canadian Steamrs,1855,Great Northn & Eastn Route.  American & Canadian Steamrs,unknown,,Broadsides Collection,Transportation & Travel,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r41j9910g,lists destinations and miles to get there.  includes a map of the Great Lakes.,
"Hightower, Wheeler & Co. Ingrafting.",1855,"Hightower, Wheeler & Co. Ingrafting.","Hightower, Wheeler & Co.",,Broadsides Collection,Plants and Seeds,,,advertisements,https://idn.duke.edu/ark:/87924/r47942n25,F-153   lists fruits by season.,
ITALIA.  Waughs Great Paintings,1855,ITALIA.  Waughs Great Paintings,Hope Chapel,,Broadsides Collection,Exhibits,,,advertisements,https://idn.duke.edu/ark:/87924/r4q52h43h,,
List of Articles Manufactured at the Piedmont Works,1855,List of Articles Manufactured at the Piedmont Works,Piedmont Works,,Broadsides Collection,"Price List, Machinery and Tools",,,advertisements,https://idn.duke.edu/ark:/87924/r4rj4bk6k,,
The Anti-Tobacco Medal,1855,The Anti-Tobacco Medal,American Anti-Tobacco Society,,Broadsides Collection,"Children, Magazines and Newspapers",,,advertisements,https://idn.duke.edu/ark:/87924/r45719f7b,children are the focus of the ad.,
"""Young America"" Corn And Cob Mill, Manufactured By E. Whitman & Co.",1856,"""Young America"" Corn And Cob Mill, Manufactured By E. Whitman & Co.",E. Whitman & Co.,,Broadsides Collection,"Price List, Machinery and Tools",,,advertisements,https://idn.duke.edu/ark:/87924/r40r9ns9k,,
Hostetters Stomach Bitters,1856,Hostetters Stomach Bitters,Hostetter & Smith,,Broadsides Collection,Medical,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4gh9d15t,,
Ingersolls Improved Portable Hay And Cotton Press.,1856,Ingersolls Improved Portable Hay And Cotton Press.,J. A. Weston & Co.,,Broadsides Collection,Machinery and Tools,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4sj1cf3x,several prices are given for different models of this press.,
War in Kansas! New Goods for Fall & Winter,1856,War in Kansas! New Goods for Fall & Winter,Jackson Rhodes,,Broadsides Collection,Dry Goods,,,advertisements,https://idn.duke.edu/ark:/87924/r4t14wc6z,,
