name,year,headline,company,product,category,subject,publication,medium,format,link,description,location
Let the Children Kodak,1908,Let the Children Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Children,Youths Companion,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4736nv0m,,
Let the Children Kodak,1908,Let the Children Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Children,Youths Companion,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4ht2j45k,,
Manhattan Real Estate Company,1908,Manhattan Real Estate Company,Manhattan Real Estate Co.,Real estate,Advertising Ephemera Collection,Real Estate,,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4b85566g,,
Premograph,1908,Premograph,Kodak,Premograph,Ellis Collection of Kodakiana (1886-1923),Premiums,Success,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4cn70q22,,
Red Start Line,1908,Red Start Line,Red Star Line,Ship Travel,Advertising Ephemera Collection,Steamships and Boats,,,"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4qb9wz36,Antwerp - New York and Antwerp - Boston are the two lines listed.  1908 is the cancellation date,
Seeing is Getting with Premograph,1908,Seeing is Getting with Premograph,Kodak,Premograph,Ellis Collection of Kodakiana (1886-1923),Premiums,Success,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4kk9615z,,
Take a Kodak with you,1908,Take a Kodak with you,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,National Sportsman,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4f47jj6t,,
Take a Kodak with you,1908,Take a Kodak with you,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),,National Geographic,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4cr5q42d,,
Take a Kodak with you,1908,Take a Kodak with you,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Colliers Weekly,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r47m05t46,,
The 3a Folding Pocket Kodak,1908,The 3a Folding Pocket Kodak,Kodak,"Folding Pocket Kodak camera, No. 3A",Ellis Collection of Kodakiana (1886-1923),Premiums,Success,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4mw2b396,,
The Babys Picture,1908,The Babys Picture,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),"Children, Premiums",Youths Companion,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4959f10t,,
The Kodak Baby Book,1908,The Kodak Baby Book,Kodak,Kodak Baby Book,Ellis Collection of Kodakiana (1886-1923),"Children, Premiums",McCalls,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4bz62z3x,,
The New No. 3 Bulls-Eye Kodak,1908,The New No. 3 Bulls-Eye Kodak,Kodak,"Bulls-Eye Camera, No. 3",Ellis Collection of Kodakiana (1886-1923),Premiums,Garden Magazine,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4dr2r242,,
The No. 2 Brownie,1908,The No. 2 Brownie,Kodak,Brownie cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Peoples Home Journal,newspapers,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4vm44m9m,,
The No. 2A Brownie,1908,The No. 2A Brownie,Kodak,"Brownie camera, No. 2A",Ellis Collection of Kodakiana (1886-1923),,Youths Companion,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4mg7hm9r,,
The No. 3A Folding Pocket Kodak,1908,The No. 3A Folding Pocket Kodak,Kodak,"Folding Pocket Kodak camera, No. 3A",Ellis Collection of Kodakiana (1886-1923),Premiums,Country Life in America,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4m32q30g,,
The Vest Pocket Kodak,1908,The Vest Pocket Kodak,Kodak,Vest Pocket Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Macleans Magazine,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4h709r0q,,
The Vital Question Cook Book,1908,,Natural Food Co.,Shredded Wheat,Nicole Di Bona Peterson Collection of Advertising Cookbooks,"Grains, etc.",,,advertisements,https://idn.duke.edu/ark:/87924/r4tb10h7f,"poor condition; color illustrations; medical ""benefits"" introduction. Cover illustration of well-dressed young woman on cover making breakfast. Includes picture of factory. Back pages contain information about shredded wheat translated into many languages. Images of selected pages from this item are available. Chapter headings:  Some Interesting Facts about the Shredded Wheat Plant at Niagara Falls, N.Y. - Shredded Sermons;  The Vital Question -  Vital Question (cont.) -  General Principles of Cookery -  Shredded Wheat Biscuit Recipes -  Ein vollkommenes Nahrungsmittel fur Gelunde und Kranke -  La Nourriture Pour La Sante - Come and See - Index to Recipes -  Ten Reasons; Views -  Interior views of The Home of Shredded Wheat - Back Cover.",
Theres more to the vacation when you Kodak,1908,Theres more to the vacation when you Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,unknown,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4d797269,,
"Winchester Repeating Rifles, Shot Guns and Single Shot Rifles",1908,"Winchester Repeating Rifles, Shot Guns and Single Shot Rifles",Winchester,Winchester,Advertising Ephemera Collection,Guns,,,"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4jm2555q,"""For Sale by Samuel Emmert, Hagerstown, MD""",
"The ""Four-Leaf Clover"" is emblematic of ""Good Luck""",circa 1908,"The ""Four-Leaf Clover"" is emblematic of ""Good Luck""",Craddock-Terry Co.,Craddock-Terry shoes,Advertising Ephemera Collection,Boots and Shoes,,,"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4pr7pk88,,
"""Oh, For A Camera""",1909,"""Oh, For A Camera""",Kodak,Filmplate Premo,Ellis Collection of Kodakiana (1886-1923),,Country Life in America,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r45719f8t,,
"""Oh, For A Camera""",1909,"""Oh, For A Camera""",Kodak,Premo cameras,Ellis Collection of Kodakiana (1886-1923),,Country Life in America,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r45719d4f,,
A New Hawk-Eye  The Complete Pocket Camera.,1909,A New Hawk-Eye  The Complete Pocket Camera.,Kodak,Hawk-Eye camera,Ellis Collection of Kodakiana (1886-1923),,Saturday Evening Post,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4930qj74,,
A Poe Centennial Volume.,1909,A Poe Centennial Volume.,American Press Co.,,Broadsides Collection,Books,,,advertisements,https://idn.duke.edu/ark:/87924/r4gq6sr66,price for the book is listed in text.,
"Cunard Line Saloon Passenger Rates and Plan of the... ""Mauretania""",1909,"Cunard Line Saloon Passenger Rates and Plan of the... ""Mauretania""","Cunard Steamship Company, Ltd.",,Broadsides Collection,"Price List, Transportation & Travel",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4ww78r1d,"Includes rates for out-of-season, intermediate season, and full season.  Also includes Minimum rates, and cost for servants.   Images scanned include overlap to illustrate placement in actual advertisement.",
For old and young there is a fascination in photography-,1909,For old and young there is a fascination in photography-,Kodak,Kodak film,Ellis Collection of Kodakiana (1886-1923),Children,Saturday Evening Post,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4pz53b7x,,
Kodak,1909,Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),,Youths Companion,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4d21t90t,,
Kodak,1909,Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),,Scribners,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4s758b66,Publication asks consumers to mention Scribners Magazine when answering ads.,
Let the Children Kodak,1909,Let the Children Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),"Children, Premiums",Ladies Home Journal,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r49z9219j,,
Let the Children Kodak,1909,Let the Children Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),"Children, Premiums",Ladies Home Journal,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r47942h9r,,
Let the Children Put Kodak on That Christmas List,1909,Let the Children Put Kodak on That Christmas List,Kodak,Kodak and Brownie cameras,Ellis Collection of Kodakiana (1886-1923),Children,Ladies Home Journal,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r42f7mh8v,,
Oris Shoes,1909,Oris Shoes,Nichols Shoe Co.,Oris Shoes,Advertising Ephemera Collection,"Price List, Boots and Shoes",,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4hh6dx45,with reproduction of handwritten testimonial; Mitchells Monument (Asheville) on front of postcard.,
PICTURE MAKING is as easy as PICTURE TAKING by the KODAK SYSTEM,1909,PICTURE MAKING is as easy as PICTURE TAKING by the KODAK SYSTEM,Kodak,Kodak Film Developing Tank,Ellis Collection of Kodakiana (1886-1923),,Country Life in America,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4nv9c11g,,
"Put ""Kodak"" on that Christmas List.",1909,"Put ""Kodak"" on that Christmas List.",Kodak,Folding Pocket Series,Ellis Collection of Kodakiana (1886-1923),,Success,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4b85592w,,
SPEED KODAK,1909,SPEED KODAK,Kodak,"Speed Kodak, No. 4A",Ellis Collection of Kodakiana (1886-1923),,Country Life in America,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cz33v35,,
Southern Beauty Line of Vehicles,1909,Southern Beauty Line of Vehicles,Georgia Vehicle Mfg. Co.,carriages,Advertising Ephemera Collection,"Price List, Carriages, Buggies, etc.",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4gf0pk94,,
Southern Good Roads,1909,Southern Good Roads,Southern Good Roads Pub. Co.,"Southern Good Roads, a monthly magazine",Advertising Ephemera Collection,Autos and Roads,,,advertisements,https://idn.duke.edu/ark:/87924/r4vx07t8n,subscription form for first issue of new periodical,
Special Offer... A 4 Months Trial Subscription for The American Boy,1909,Special Offer... A 4 Months Trial Subscription for The American Boy,Sprague Publishing Company,American Boy Magazine,Advertising Ephemera Collection,Books and Publishing,,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4ns0np4n,,
THE KODAK in the BALKANS,1909,THE KODAK in the BALKANS,Kodak,Eastman Kodak Company,Ellis Collection of Kodakiana (1886-1923),Military,unknown,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4cc0wk71,,
The J. W. T. Book,1909,,,,Early Advertising Publications,,,,advertisements,https://idn.duke.edu/ark:/87924/r43777j3k,"J. Walter Thompson Co. advertises itself via messages signed ""J. Walter Thompson, President"" in between chapters; JWT Publications 5. Images of each page from this item are available. Chapter headings:  Introduction -  Chapter I - The American Public -  Chapter II - The Hold on Your Trade -  Message from J. Walter Thompson, President -  Chapter III - The Advertising Plan -  Chapter IV - Salesmanship -  Message from J. Walter Thompson, President -  Chapter V - Good Copy -  Outdoor Advertising -  Chapter VI - Funny Advertising -  Message from J. Walter Thompson, President -  Chapter VII - Advertising Luxuries -  Message from J. Walter Thompson, President -  Chapter VIII - Trademark Publicity -  Message from J. Walter Thompson, President -  Spanish Advertising Department -  Chapter IX - Some Cardinal Principles.",
The No. 0 Folding Pocket Kodak $6.00,1909,The No. 0 Folding Pocket Kodak $6.00,Kodak,"Folding Pocket camera, No. 0",Ellis Collection of Kodakiana (1886-1923),,Cosmopolitan,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r45m64144,Mentions briefly other products produced by Kodak.  Photograph in ad is actual size of product.,
There are no game laws for those who hunt with a Kodak,1909,There are no game laws for those who hunt with a Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Colliers Weekly,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r44f1pb4v,"""Color"" photograph",
Theres No Dark Room With A Kodak Tank,1909,Theres No Dark Room With A Kodak Tank,Kodak,Kodak Film Developing Tank,Ellis Collection of Kodakiana (1886-1923),Children,Youths Companion,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r45719d8c,,
Theres Nothing Too Good for That Boy,1909,Theres Nothing Too Good for That Boy,Kodak,Brownie cameras,Ellis Collection of Kodakiana (1886-1923),"Children, Premiums",Youths Companion,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4nz82d2t,,
Theres no better fun than Picture Taking,1909,Theres no better fun than Picture Taking,Kodak,Brownie cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Youths Companion,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r43f4nc94,,
Theres no dark room with a Kodak Tank,1909,Theres no dark room with a Kodak Tank,Kodak,Kodak Film Developing Tank,Ellis Collection of Kodakiana (1886-1923),Premiums,Country Life in America,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r46d5r31w,,
They All Remembered The Kodak,1909,They All Remembered The Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Colliers Weekly,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4cj89b3p,,
They Work Like Kodaks.  The Brownie Family Provides a Camera for Every Boy and Girl,1909,They Work Like Kodaks.  The Brownie Family Provides a Camera for Every Boy and Girl,Kodak,Brownie cameras,Ellis Collection of Kodakiana (1886-1923),"Children, Premiums",Youths Companion,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4d50hq04,,
This man is up to date...,1909,This man is up to date...,J. L. Bieder Co.,Changing Picture Puzzle,Advertising Ephemera Collection,Advertising business,,,"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r49021565,mechanical card - sample of Changing Picture Puzzle,
Wicker and Watson General Store,1909,,"Coca-Cola, Wicker & Watson General Merchants",,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r4t43kv46,First Wall,
Witchery of Kodakery,1909,Witchery of Kodakery,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,unknown,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4zp3xq49,,
Florida Ostrich Farm,circa 1909,Florida Ostrich Farm,Florida Ostrich Farms,"Plumes, boas, fans, egg shells",Advertising Ephemera Collection,"Price List, Clothing",,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r42b8x18n,photographs of ostrich farm and fashion accessories.,
A Christmas Morning Kodak,1900s,A Christmas Morning Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Children,unknown,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4t72961k,,
A Kodak,1900s,A Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,unknown,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4pn9062w,,
Eastman Kodak Co.s Brownie Cameras,1900s,Eastman Kodak Co.s Brownie Cameras,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,unknown,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4m903t8m,,
It is Kodak Simplicity,1900s,It is Kodak Simplicity,Kodak,Kodak film,Ellis Collection of Kodakiana (1886-1923),Premiums,unknown,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4d797396,"""$4,000.00 in prizes for the best Kodak and Brownie Pictures.""  Illustrator\s name looks like ""HPazziers""",
Kodak,1900s,Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),,unknown,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4x06035g,In French,
Kodak,1900s,Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,unknown,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r47p8w492,,
Kodak Simplicity,1900s,Kodak Simplicity,Kodak,Kodak Developing Machines,Ellis Collection of Kodakiana (1886-1923),Premiums,Seaman,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r41g0km7p,"Also includes information about the Kodak Correspondence School , as well as price information",
Kodaks For Christmas,1900s,Kodaks For Christmas,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,unknown,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4nk37x2x,,
The Dark-Room Abolished by the Kodak Developing Machine,1900s,The Dark-Room Abolished by the Kodak Developing Machine,Kodak,Kodak Developing Machines,Ellis Collection of Kodakiana (1886-1923),Premiums,unknown,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4sf2p54w,The picture is of The Kodak Girl,
The Growth and Triumph of an Idea,1900s,The Growth and Triumph of an Idea,Kodak,Eastman Kodak Company,Ellis Collection of Kodakiana (1886-1923),,unknown,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r47p8w28p,Image of a tree with Kodak film canisters in the roots,
Tis the Kodak Quality,1900s,Tis the Kodak Quality,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),"Premiums, Contests",unknown,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4p55g83q,,
Told by the Kodak,1900s,Told by the Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Colliers Weekly,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4zp3xr2s,,
A Folding Pocket Brownie,1910,A Folding Pocket Brownie,Kodak,"Folding Pocket Brownie camera, No. 2A",Ellis Collection of Kodakiana (1886-1923),Premiums,Ladies Home Journal,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4q816g1z,,
A Home Remedy for Home Folks,1910,A Home Remedy for Home Folks,Bodi-Tone Company,,Broadsides Collection,"Children, Medical",,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r44j0cn1c,,
A Special Kodak,1910,A Special Kodak,Kodak,"Kodak camera, No. 3A",Ellis Collection of Kodakiana (1886-1923),Premiums,Literary Digest,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r45d8q47n,,
After the Bath,1910,After the Bath,Ponds Extract Co.,Ponds Vanishing Cream,Ponds,Premiums,unknown,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4bz62z8b,Illustration: picture is integrated into black and white drawing,
All out-doors invites your Kodak,1910,All out-doors invites your Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),"Premiums, Sports",unknown,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4gh9d35q,,
An Old Remedy,1910,An Old Remedy,Ponds Extract Co.,Ponds Extract,Ponds,Children,unknown,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4r49j21p,,
Announcements for the Autumn of 1910,1910,Announcements for the Autumn of 1910,G. P. Putnams Sons,Books,Advertising Ephemera Collection,"Price List, Books and Publishing",,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4gq6sr28,"About Miscellaneous topics, including history, fiction, Theodore Roosevelts Political Addresses, and James Madison among others.",
At Home with The Kodak,1910,At Home with The Kodak,Kodak,Eastman Kodak Company,Ellis Collection of Kodakiana (1886-1923),"Children, Premiums",Hamptons Magazine,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4mk67072,Child taking picture of Grandfather.,
"Avoid Sunburn, Freckles and Chaps",1910,"Avoid Sunburn, Freckles and Chaps",Ponds Extract Co.,Ponds Vanishing Cream and Extract,Ponds,"Premiums, Sports",unknown,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r47942j2t,Illustration: picture is integrated into black and white drawing. Sport is golf.,
Be sure its a Kodak,1910,Be sure its a Kodak,Kodak,Kodak and Brownie cameras,Ellis Collection of Kodakiana (1886-1923),,Youths Companion,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r41c1w74c,,
Beauty-Indoors and Out of Doors,1910,Beauty-Indoors and Out of Doors,Ponds Extract Co.,Ponds Vanishing Cream,Ponds,Premiums,unknown,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4vh5f72c,Illustration: picture is integrated with black and white drawings,
Bromo-Seltzer,1910,Bromo-Seltzer,Emerson Drug Co.,Bromo-Seltzer,Advertising Ephemera Collection,Health and Patent Medicines,,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4xp6ws6k,personal postcard with message on back,
Chaps and Windburn,1910,Chaps and Windburn,Ponds Extract Co.,Ponds Vanishing Cream and Extract,Ponds,Premiums,unknown,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4kh0gp84,Illustration: picture is integrated into black and white drawing,
Delaware Water Gap,1910,,Coca-Cola,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r4pr7ph7w,picture of covered bridge,
Excursion to Gettysburg,1910,Excursion to Gettysburg,Pennsylvania Railroad,Excursion to Gettsyburg train ticket,Advertising Ephemera Collection,"Military, Price List, Railroads",,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4cr5q28d,description of Gettysburg battlefield.  Excursion arranged for Worlds Sunday School Convention by Pennsylvania Railroad.,
Experiment with no experiments.  Load your Kodak with Kodak Film.,1910,Experiment with no experiments.  Load your Kodak with Kodak Film.,Kodak,Kodak film,Ellis Collection of Kodakiana (1886-1923),Premiums,McClures,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cf9m04r,,
Home Helps:  A Pure Food Cook Book,1910,,N. K. Fairbank Co.,Cottolene (Cottonseed Oil and Oleo Stearine),Nicole Di Bona Peterson Collection of Advertising Cookbooks,Shortening,,,advertisements,https://idn.duke.edu/ark:/87924/r4zs2n225,"cover ripped from binding partially, fragile, well-worn; ""Up-to-date, Practical Recipes by...Leading Culinary Experts"": Mrs. Mary J. Lincoln, Lida Ames Willis, Mrs. Sarah Tyson Rorer, Mrs. Helen Armstrong, Marion Harland. Images of selected pages from this item are available. Chapter headings:  Introduction -  Cottolene; How to Use -  What Noted Cooking Experts and Eminent Physicians Think of Cottolene -  How to Measure; Time Tables for Cooking -  Beverages; Breakfast Cakes, Fritters and Doughnuts -  Breakfast Cakes, Fritters and Doughnuts (cont.); Bread and Rolls -  Bread and Rolls (cont.); Cakes -  Cakes (cont.); Eggs; Fish and Shell Fish -  Fish and Shell Fish (cont.); Meat, Poultry and Game -  Meat...(cont.) -  Meat...(cont.); Entrees and Meats Rechauffe -  Sauces for Meats, Fish and Vegetables -  Vegetables -  Pies and Pastry; Puddings and Sauces -  Ice Creams, Ices, Etc. -  Ice Cream (cont.); Canning and Preserving -  Canning (cont.); Invalid Cookery -  Advertisements -  Alphabetical Index of Recipes.",
KODAK at the North Pole,1910,KODAK at the North Pole,Kodak,Kodak products,Ellis Collection of Kodakiana (1886-1923),Testimonial--Commander Peary,Harpers,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r49g5j37x,,
Kodak Film Tank,1910,Kodak Film Tank,Kodak,Kodak Film Developing Tank,Ellis Collection of Kodakiana (1886-1923),"Children, Premiums",Youths Companion,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4gt5h779,,
Let the Children Kodak,1910,Let the Children Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),"Children, Premiums",Ladies Home Journal,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4hm5478g,"""Color"" photograph",
Like a Fairy Wand,1910,Like a Fairy Wand,Ponds Extract Co.,Ponds Vanishing Cream and Extract,Ponds,Premiums,unknown,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4930qm71,,
Make somebody happy with a Kodak,1910,Make somebody happy with a Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),,Youths Companion,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4ks6kz1m,,
Make somebody happy with a Kodak.,1910,Make somebody happy with a Kodak.,Kodak,Eastman Kodak Company,Ellis Collection of Kodakiana (1886-1923),Premiums,unknown,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r41n80c1c,,
Never Mind the Label-,1910,Never Mind the Label-,"Small-Grain Distilling Co., Inc.",,Broadsides Collection,Alcohol,,,advertisements,https://idn.duke.edu/ark:/87924/r4ms3mr7d,"includes a mail-in portion for ordering four quarts of ""Four Roses"".",
North American Animals,1910,North American Animals,Chase & Sanborn Tea and Coffee Importers,Chase & Sanborn Coffee and Teas,Advertising Ephemera Collection,Food,,,"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4n58f891,"booklet contains picture and Latin names of animals, also includes ad on the back",
Ponds  Extract,1910,Ponds  Extract,Ponds Extract Co.,Ponds Extract,Ponds,Children,unknown,magazines (periodicals),"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4k35p683,,
Ponds Extract,1910,Ponds Extract,Ponds Extract Co.,Ponds Extract,Ponds,,unknown,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4x06024j,,
Ponds Extract Companys Vanishing Cream,1910,Ponds Extract Companys Vanishing Cream,Ponds Extract Co.,Ponds Vanishing Cream,Ponds,Premiums,unknown,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4ww78p5f,Illustration: picture is integrated with black and white drawings.,
